dataset,end-date,entry-date,notes,start-date,provision-reason,organisation,project,specification
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:BRW,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:BRX,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:BRX,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:BRX,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:BRX,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:BRX,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:BRX,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:BRX,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:BRX,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:BRY,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:BRY,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:BRY,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:BRY,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:BRY,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:BRY,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:BRY,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:BRY,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:BST,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:BST,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:BST,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:BST,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:BST,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:BST,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:BST,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:BST,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:BUC,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:BUC,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:BUC,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:BUC,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:BUC,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:BUC,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:BUC,design-codes,design-code
brownfield-land,,2023-08-17,,,statutory,local-authority:BUN,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:BUN,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:BUN,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:BUN,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:BUN,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:BUN,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:BUN,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:BUN,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:BUR,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:BUR,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:BUR,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:BUR,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:BUR,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:BUR,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:BUR,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:BUR,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CAB,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CAB,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CAB,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CAB,developer-contribution,developer-ageement
article-4-direction,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CAB,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CAN,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CAN,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CAN,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CAN,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CAN,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CAN,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CAN,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CAN,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CAR,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CAR,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CAR,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CAR,developer-contribution,developer-ageement
article-4-direction,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CAR,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CAS,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CAS,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CAS,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CAS,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CAS,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CAS,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CAS,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CAS,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CAT,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CAT,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CAT,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CAT,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CAT,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CAT,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CAT,design-codes,design-code
brownfield-land,,2023-08-17,,,statutory,local-authority:CBF,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CBF,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CBF,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CBF,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CBF,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CBF,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CBF,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CBF,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHA,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHA,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHA,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHA,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHA,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHA,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHA,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHA,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHE,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHE,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHE,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHE,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHE,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHE,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHE,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHE,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHI,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHI,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHI,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHI,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHI,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHI,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHI,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHI,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHL,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHL,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHL,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHL,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHL,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHL,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHL,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHL,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHO,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHO,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHO,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHO,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHO,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHO,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHO,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHO,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHR,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHR,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHR,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHR,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHR,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHR,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHR,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHR,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHS,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHS,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHS,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHS,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHS,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHS,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHS,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHS,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHT,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHT,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHT,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHT,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHT,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHT,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHT,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHT,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CHW,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CHW,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CHW,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CHW,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CHW,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CHW,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CHW,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CHW,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CLD,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CLD,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CLD,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CLD,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CLD,design-codes,design-code
design-code-area,,2023-08-17,,,prospective,local-authority:CLD,design-codes,design-code
design-code-rule,,2023-08-17,,,prospective,local-authority:CLD,design-codes,design-code
article-4-direction,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,article-4-direction
article-4-direction-area,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,article-4-direction
conservation-area,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,conservation-area
conservation-area-document,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,conservation-area
listed-building-outline,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,listed-building
tree,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,tree-preservation-order
tree-preservation-order,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,tree-preservation-order
tree-preservation-zone,,2023-08-17,,,prospective,local-authority:CLD,open-digital-planning,tree-preservation-order
brownfield-land,,2023-08-17,,,statutory,local-authority:CMD,brownfield-land,brownfield-land
developer-agreement,,2023-08-17,,,encouraged,local-authority:CMD,developer-contribution,developer-ageement
developer-agreement-contribution,,2023-08-17,,,encouraged,local-authority:CMD,developer-contribution,developer-ageement
developer-agreement-transaction,,2023-08-17,,,encouraged,local-authority:CMD,developer-contribution,developer-ageement
design-code,,2023-08-17,,,prospective,local-authority:CMD,design-codes,design-code
